clubId,name,symbol,code,isSubscribed,createdAt,updatedAt
656d8a51-21ab-4714-844d-4a558f52d9d1,Valle Arriba Athletic Club,VAT,Ax12sH,true,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
51a9cbbf-2ded-4d01-8d86-71ea2ff4f898,Altamira Tenis Club,ATC,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
f82f3cbd-f9ae-4a61-b63d-c9c45a5c0acc,Caracas Country Club,CCC,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
82685a97-611f-43d7-ab2e-1be46c0bf541,Caracas Racquet Club,CRC,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
c81bb875-3493-4232-bf98-1c016c72e8c6,Caracas Sports Club,CSC,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
608beb9e-68c4-4b72-b61f-acb51527dedf,Caracas Teather Club,CTC,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
6ce09cb1-afe6-4831-9554-d04ec5d3d6fe,Centre Catala,CAT,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
0a8e0d2a-438b-4732-836a-f26d7d344216,Centro Asturiano de Caracas,AST,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
3246029d-45a8-44db-a700-48987f19bbce,Centro Deportivo Hebraica,HEB,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
42d1b3c7-ad06-4bb8-8510-5000fadbb255,Centro Italiano Venezolano,CIV,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
10f93a9d-4f14-4931-b218-a4323c22fb38,Centro Portugues,POR,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
bc28c40b-7735-45e5-986f-89665caf911f,Círculo Militar de Caracas,CMC,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
6ed6e477-86e4-4ee8-a679-4b7a2c6880d6,Club Campestre Los Cortijos,CLC,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
58194e95-f366-49ab-8943-8214d818b8ae,Club Hípico de Caracas,HIP,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
73021afa-8403-4e12-b97d-325722ee2ec3,Club Miranda,MIR,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
bdf7b21a-ccfd-4921-be6e-2d244519701f,Club Puerto Azul,CPA,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
39055b2c-be40-4ab7-b464-2f9c47170407,Club Santa Paula,CSP,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
4296b7a2-37fc-44bf-bc5e-f8682ae022f2,Club Táchira,TAC,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
9e216d16-1edc-46b9-aa2c-97e250957776,Hermandad Gallega de Venezuela,HGV,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
392c94c7-bc83-4606-87d2-2eae2e90bba2,Hogar Canario de Venezuela,HCV,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
1274e1b3-1b4e-4883-9053-cc6de19907a3,Izcaragua Country Club,IZC,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
a7296abc-cf42-4b88-99ba-ce75040c1a89,Lagunita Country Club,LCC,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
2b6a9c19-871a-4dc7-b5af-0e8dff704875,Monteclaro Country Club,MON,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
a0b4cc45-097d-4f48-830e-b676d89bbab7,Valle Arriba Golf Club,VAG,null,false,Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time),Thu May 30 2024 12:59:06 GMT-0400 (Venezuela Time)
